CIT 101,Orientation to Computer Technology,"Class 1, cr. 1.",,Required for freshman CIT students.,"An introduction to, and survey of, the field of computer information systems and technology. Exposure to different career options and academic preparation. Focus will be on the individual development of the student in regard not only to future profes"
CIT 125,Personal Computing Applications for Engineering Technology,"Class 0-1, lab. 2, cr. 1-2.",,Not available for credit to Computer Technology majors.,"This course is an introduction to personal computer technology and problem solving with personal computers. Students gain hands-on experience with personal computer operating systems and applications including word processing, spreadsheets, presentat"
CIT 175,Visual Programming,"Class 3, cr. 3, or class 2, lab. 2, cr. 3.",MA 153,Not available for credit to Computer Technology majors.,"This course introduces event-driven application development and programming using a visual programming environment. Topics include problem solving and program design; control structures; objects and events; user interface construction; documentation,"
CIT 199,Topics in Computer Technology,"Class 0-3, cr. 0-3.  (May be repeated for up to six credits.)",,Not available for credit to computer technology majors. Not for independent study.,Hours and subject matter arranged by staff. Primarily for intensive courses offered through Continuing Education.
CIT 255,Programming with Data Structures,"Class 3, cr. 3, or class 2, lab. 2, cr. 3.",CIT 250,,"This course is a continuation of CIT 250 with an emphasis on programming with various data and database structures. Topics will include arrays, lists, trees, indexes, records, files and database structures, database manipulation, data access, data ma"
CIT 299,Computer Technology,"Class 0-3, cr. 1-6. (May be repeated for up to six credits.)",,,Hours and subject matter to be arranged by staff. Individual study under directed leadership of professor. Primarily for students with special aptitudes.
CIT 330,PC Connectivity and Local Area Networking,"Class 2, lab. 2, cr. 3.",CIT 230,,Exploration of PC connectivity alternatives and the decision-making process for designing cost effect local area networking solutions for a given application. Emphasis is on the use of these local area networking solutions in client/server architectu
CIT 385,Rapid Application Design and Development,"Class 3, cr. 3, or class 2, lab. 2, cr. 3.",CIT 380,,"This course is an advanced study of rapid application development (RAD) methods and techniques used by systems analysts to prototype and construct an information system.  Topics include: rapid development concepts, application architecture and system"
CIT 435,Office Automation and Application Development,"Class 3, cr. 3.",CIT 335,Spring semester only. Does not carry credit toward CIT electives in the CIT curriculum.,"An introduction to office automation concepts, careers, office technologies, office information systems development, ergonomics, and automated office support and management. Laboratory experiences focus on integrating personal, work group, and enterp"
CIT 450,Advanced Software Development Topics,"Class 3, cr. 3, or class 2, lab. 2, cr. 3.",two core programming courses in Computer Technology,,"Problems, issues, and practices in programming and software. Software engineering, maintenance programming, software project management, and other topics."
CIT 487,Data Management,"Class 2, lab. 2-3, cr. 3.",CIT 382,,"Analyze corporate information needs. Design and implement advanced database applications (data warehouses, decision support systems, operational data stores, and web databases). Use computer-aided design technology, database management systems and on"
CIT 490,Senior Project (variable title),"Lab. 0-6, cr. 1-3. (May be repeated for up to six credits.)",senior standing and consent of instructor,,Team industrial experience for seniors who undertake a significant controlled project experience for an actual client and problem.
CIT 107,Computers and Software Packages (Variable Title),"Class 1-3, lab. 0-2, cr. 1-4.",varies with course content,Does not carry credit toward degree requirements in computer technology.,"Topics and skills associated with a specific computer(s) and/or specific software package(s). Level of coverage varies according to audience. Since various applications packages may be offered under this title, this course may be repeated for a maxim"
CIT 135,Personal Computing Technology and Applications (Variable Title),"Class 1-3, lab. prep. 0-1, lab. 0-2, cr. 0-3.",,,"Course content includes an introduction to personal computer technology and problem solving with personal computers. Topics include computer hardware, computer operations, operating systems and environments, and computer ethics. Students gain hands-o"
